        Current Value   True Value      Difference
C02     0.00108116      0.00108264      -1.47656e-06
C12     -3.51505e-10    -3.50489e-10    -1.01635e-12
C22     1.56843e-06     1.57454e-06     -6.10735e-09
C03     -2.53902e-06    -2.53244e-06    -6.58827e-09
C13     2.19759e-06     2.1928e-06      4.79155e-09
C23     3.0784e-07      3.09016e-07     -1.17606e-09
C33     1.01034e-07     1.00559e-07     4.74888e-10
C04     -1.61865e-06    -1.61933e-06    6.77162e-10
C14     -5.09132e-07    -5.08725e-07    -4.06371e-10
C24     7.81435e-08     7.84122e-08     -2.68714e-10
C34     5.89571e-08     5.92157e-08     -2.58621e-10
C44     -3.98084e-09    -3.9824e-09     1.5582e-12
S12     1.62795e-09     1.63541e-09     -7.45951e-12
S22     -8.99556e-07    -9.03868e-07    4.31255e-09
S13     2.68224e-07     2.68012e-07     2.11856e-10
S23     -2.11902e-07    -2.11402e-07    -4.99749e-10
S33     1.97817e-07     1.97201e-07     6.16062e-10
S14     -4.47309e-07    -4.4946e-07     2.15078e-09
S24     1.48218e-07     1.48155e-07     6.26592e-11
S34     -1.19576e-08    -1.20113e-08    5.36828e-11
S44     6.49565e-09     6.52561e-09     -2.99584e-11

C02     0.00108263      0.00108264      -2.17508e-09
C12     -2.2765e-10     -3.50489e-10    1.22839e-10
C22     1.57467e-06     1.57454e-06     1.3219e-10
C03     -2.53245e-06    -2.53244e-06    -9.87621e-12
C13     2.19287e-06     2.1928e-06      7.36458e-11
C23     3.09022e-07     3.09016e-07     5.65688e-12
C33     1.00551e-07     1.00559e-07     -7.45954e-12
C04     -1.61943e-06    -1.61933e-06    -9.70672e-11
C14     -5.08625e-07    -5.08725e-07    1.00616e-10
C24     7.83494e-08     7.84122e-08     -6.28532e-11
C34     5.91664e-08     5.92157e-08     -4.93384e-11
C44     -3.98337e-09    -3.9824e-09     -9.72707e-13
S12     1.29619e-09     1.63541e-09     -3.39214e-10
S22     -9.03942e-07    -9.03868e-07    -7.43236e-11
S13     2.67976e-07     2.68012e-07     -3.55537e-11
S23     -2.11398e-07    -2.11402e-07    4.85069e-12
S33     1.97203e-07     1.97201e-07     1.89885e-12
S14     -4.4881e-07     -4.4946e-07     6.4948e-10
S24     1.48191e-07     1.48155e-07     3.57751e-11
S34     -1.20484e-08    -1.20113e-08    -3.71458e-11
S44     6.52629e-09     6.52561e-09     6.8581e-13

C02     0.00108264      0.00108264      -5.16525e-11
C12     -3.5071e-10     -3.50489e-10    -2.20946e-13
C22     1.57453e-06     1.57454e-06     -4.04472e-12
C03     -2.53244e-06    -2.53244e-06    -4.96415e-13
C13     2.1928e-06      2.1928e-06      -1.18466e-13
C23     3.09017e-07     3.09016e-07     6.13491e-13
C33     1.00559e-07     1.00559e-07     -1.0602e-13
C04     -1.61941e-06    -1.61933e-06    -7.69763e-11
C14     -5.08721e-07    -5.08725e-07    4.62451e-12
C24     7.84171e-08     7.84122e-08     4.87984e-12
C34     5.92171e-08     5.92157e-08     1.34934e-12
C44     -3.98253e-09    -3.9824e-09     -1.31228e-13
S12     1.63967e-09     1.63541e-09     4.26487e-12
S22     -9.03865e-07    -9.03868e-07    2.63442e-12
S13     2.68015e-07     2.68012e-07     3.03232e-12
S23     -2.11401e-07    -2.11402e-07    1.82668e-12
S33     1.97201e-07     1.97201e-07     -2.88241e-13
S14     -4.4946e-07     -4.4946e-07     -3.15293e-13
S24     1.48154e-07     1.48155e-07     -1.8635e-12
S34     -1.2012e-08     -1.20113e-08    -6.77102e-13
S44     6.52572e-09     6.52561e-09     1.16485e-13

C02     0.00108264      0.00108264      -7.92933e-11
C12     -3.51258e-10    -3.50489e-10    -7.68723e-13
C22     1.57453e-06     1.57454e-06     -6.87256e-12
C03     -2.53244e-06    -2.53244e-06    -7.67092e-13
C13     2.1928e-06      2.1928e-06      3.70399e-13
C23     3.09017e-07     3.09016e-07     9.98101e-13
C33     1.00559e-07     1.00559e-07     -1.93558e-13
C04     -1.61945e-06    -1.61933e-06    -1.16052e-10
C14     -5.08719e-07    -5.08725e-07    6.09113e-12
C24     7.84195e-08     7.84122e-08     7.23349e-12
C34     5.92179e-08     5.92157e-08     2.19788e-12
C44     -3.98258e-09    -3.9824e-09     -1.84529e-13
S12     1.63995e-09     1.63541e-09     4.54879e-12
S22     -9.03865e-07    -9.03868e-07    2.9402e-12
S13     2.68016e-07     2.68012e-07     4.48228e-12
S23     -2.114e-07      -2.11402e-07    2.8327e-12
S33     1.97201e-07     1.97201e-07     -4.07285e-13
S14     -4.49461e-07    -4.4946e-07     -1.11605e-12
S24     1.48153e-07     1.48155e-07     -2.81121e-12
S34     -1.20124e-08    -1.20113e-08    -1.13908e-12
S44     6.52578e-09     6.52561e-09     1.75218e-13

C02     0.00108264      0.00108264      1.24503e-11
C12     -3.50068e-10    -3.50489e-10    4.2145e-13
C22     1.57454e-06     1.57454e-06     1.21531e-12
C03     -2.53244e-06    -2.53244e-06    1.11057e-13
C13     2.1928e-06      2.1928e-06      -2.02088e-13
C23     3.09016e-07     3.09016e-07     -1.6737e-13
C33     1.00559e-07     1.00559e-07     3.99108e-14
C04     -1.61931e-06    -1.61933e-06    1.76584e-11
C14     -5.08726e-07    -5.08725e-07    -5.99937e-13
C24     7.84112e-08     7.84122e-08     -1.0805e-12
C34     5.92154e-08     5.92157e-08     -3.53076e-13
C44     -3.98237e-09    -3.9824e-09     2.55495e-14
S12     1.63551e-09     1.63541e-09     1.08841e-13
S22     -9.03868e-07    -9.03868e-07    -9.45685e-14
S13     2.68011e-07     2.68012e-07     -6.44984e-13
S23     -2.11403e-07    -2.11402e-07    -4.43836e-13
S33     1.97201e-07     1.97201e-07     5.45107e-14
S14     -4.4946e-07     -4.4946e-07     4.49638e-15
S24     1.48156e-07     1.48155e-07     4.40463e-13
S34     -1.20111e-08    -1.20113e-08    2.23382e-13
S44     6.52558e-09     6.52561e-09     -2.65118e-14
